"symbol","date","open","high","close","volume","adj","Name","LastSale","MarketCap","IPOyear","Sector","Industry","Exchange"
"AGX",2017-07-03,60.3,61.85,61.650002,55100,61.650002,"Argan, Inc.",64.35,"$998.69M",NA,"Basic Industries","Engineering & Construction","NYSE"
"AGX",2017-07-05,61.9,61.9,60.799999,69300,60.799999,"Argan, Inc.",64.35,"$998.69M",NA,"Basic Industries","Engineering & Construction","NYSE"
"AGX",2017-07-06,60.4,60.68,59.299999,122400,59.299999,"Argan, Inc.",64.35,"$998.69M",NA,"Basic Industries","Engineering & Construction","NYSE"
"AGX",2017-07-07,59.5,61.05,60.900002,114600,60.900002,"Argan, Inc.",64.35,"$998.69M",NA,"Basic Industries","Engineering & Construction","NYSE"
"AGX",2017-07-10,60.8,61.2,60.599998,109100,60.599998,"Argan, Inc.",64.35,"$998.69M",NA,"Basic Industries","Engineering & Construction","NYSE"
"AGX",2017-07-11,60.55,61.45,61.349998,110100,61.349998,"Argan, Inc.",64.35,"$998.69M",NA,"Basic Industries","Engineering & Construction","NYSE"
"AGX",2017-07-12,61.75,62.9,62.599998,146800,62.599998,"Argan, Inc.",64.35,"$998.69M",NA,"Basic Industries","Engineering & Construction","NYSE"
"AGX",2017-07-13,62.6,62.75,62.099998,149400,62.099998,"Argan, Inc.",64.35,"$998.69M",NA,"Basic Industries","Engineering & Construction","NYSE"
"AGX",2017-07-14,62.3,62.8,62.450001,93400,62.450001,"Argan, Inc.",64.35,"$998.69M",NA,"Basic Industries","Engineering & Construction","NYSE"
"AGX",2017-07-17,62.7,64.15,64.050003,158900,64.050003,"Argan, Inc.",64.35,"$998.69M",NA,"Basic Industries","Engineering & Construction","NYSE"
"AGX",2017-07-18,64,64.1,62.75,112100,62.75,"Argan, Inc.",64.35,"$998.69M",NA,"Basic Industries","Engineering & Construction","NYSE"
"AGX",2017-07-19,63.05,64.1,64.099998,304700,64.099998,"Argan, Inc.",64.35,"$998.69M",NA,"Basic Industries","Engineering & Construction","NYSE"
"AGX",2017-07-20,64.05,64.05,63.400002,109400,63.400002,"Argan, Inc.",64.35,"$998.69M",NA,"Basic Industries","Engineering & Construction","NYSE"
"AGX",2017-07-21,63.55,64,63.099998,129000,63.099998,"Argan, Inc.",64.35,"$998.69M",NA,"Basic Industries","Engineering & Construction","NYSE"
"AGX",2017-07-24,62.8,64.2,64.099998,133600,64.099998,"Argan, Inc.",64.35,"$998.69M",NA,"Basic Industries","Engineering & Construction","NYSE"
"AGX",2017-07-25,64.5,64.9,64.300003,105200,64.300003,"Argan, Inc.",64.35,"$998.69M",NA,"Basic Industries","Engineering & Construction","NYSE"
"AGX",2017-07-26,64.55,64.55,64.25,172400,64.25,"Argan, Inc.",64.35,"$998.69M",NA,"Basic Industries","Engineering & Construction","NYSE"
"AGX",2017-07-27,64.8,66.3,65.199997,237300,65.199997,"Argan, Inc.",64.35,"$998.69M",NA,"Basic Industries","Engineering & Construction","NYSE"
"AGX",2017-07-28,64.95,65,64.349998,84400,64.349998,"Argan, Inc.",64.35,"$998.69M",NA,"Basic Industries","Engineering & Construction","NYSE"
"ARTX",2017-07-03,3.55,3.6,3.6,60500,3.6,"Arotech Corporation",3.75,"$99.1M",1994,"Miscellaneous","Industrial Machinery/Components","NASDAQ"
"ARTX",2017-07-05,3.6,3.8,3.7,280500,3.7,"Arotech Corporation",3.75,"$99.1M",1994,"Miscellaneous","Industrial Machinery/Components","NASDAQ"
"ARTX",2017-07-06,3.6,3.75,3.7,110500,3.7,"Arotech Corporation",3.75,"$99.1M",1994,"Miscellaneous","Industrial Machinery/Components","NASDAQ"
"ARTX",2017-07-07,3.75,3.75,3.55,144700,3.55,"Arotech Corporation",3.75,"$99.1M",1994,"Miscellaneous","Industrial Machinery/Components","NASDAQ"
"ARTX",2017-07-10,3.6,3.65,3.6,174200,3.6,"Arotech Corporation",3.75,"$99.1M",1994,"Miscellaneous","Industrial Machinery/Components","NASDAQ"
"ARTX",2017-07-11,3.7,3.8,3.7,266800,3.7,"Arotech Corporation",3.75,"$99.1M",1994,"Miscellaneous","Industrial Machinery/Components","NASDAQ"
"ARTX",2017-07-12,3.8,3.9,3.9,319200,3.9,"Arotech Corporation",3.75,"$99.1M",1994,"Miscellaneous","Industrial Machinery/Components","NASDAQ"
"ARTX",2017-07-13,3.95,3.95,3.9,293400,3.9,"Arotech Corporation",3.75,"$99.1M",1994,"Miscellaneous","Industrial Machinery/Components","NASDAQ"
"ARTX",2017-07-14,3.95,4,3.9,185600,3.9,"Arotech Corporation",3.75,"$99.1M",1994,"Miscellaneous","Industrial Machinery/Components","NASDAQ"
"ARTX",2017-07-17,4,4,3.85,232800,3.85,"Arotech Corporation",3.75,"$99.1M",1994,"Miscellaneous","Industrial Machinery/Components","NASDAQ"
"ARTX",2017-07-18,3.85,3.86,3.85,145200,3.85,"Arotech Corporation",3.75,"$99.1M",1994,"Miscellaneous","Industrial Machinery/Components","NASDAQ"
"ARTX",2017-07-19,3.85,3.85,3.8,138100,3.8,"Arotech Corporation",3.75,"$99.1M",1994,"Miscellaneous","Industrial Machinery/Components","NASDAQ"
"ARTX",2017-07-20,3.85,3.95,3.95,169300,3.95,"Arotech Corporation",3.75,"$99.1M",1994,"Miscellaneous","Industrial Machinery/Components","NASDAQ"
"ARTX",2017-07-21,3.95,3.95,3.85,358000,3.85,"Arotech Corporation",3.75,"$99.1M",1994,"Miscellaneous","Industrial Machinery/Components","NASDAQ"
"ARTX",2017-07-24,3.9,3.95,3.95,145200,3.95,"Arotech Corporation",3.75,"$99.1M",1994,"Miscellaneous","Industrial Machinery/Components","NASDAQ"
"ARTX",2017-07-25,3.95,4.05,3.95,322100,3.95,"Arotech Corporation",3.75,"$99.1M",1994,"Miscellaneous","Industrial Machinery/Components","NASDAQ"
"ARTX",2017-07-26,4,4.05,3.75,465600,3.75,"Arotech Corporation",3.75,"$99.1M",1994,"Miscellaneous","Industrial Machinery/Components","NASDAQ"
