"date","symbol","open","high","low","close","volume","adj"
2017-07-03,"FALC",0.27,0.28,0.25,0.27,115800,0.27
2017-07-05,"FALC",0.27,0.27,0.25,0.26,64000,0.26
2017-07-06,"FALC",0.26,0.26,0.22,0.25,82100,0.25
2017-07-07,"FALC",0.24,0.25,0.24,0.25,156300,0.25
2017-07-10,"FALC",0.24,0.26,0.23,0.24,102600,0.24
2017-07-11,"FALC",0.23,0.24,0.22,0.24,146800,0.24
2017-07-12,"FALC",0.23,0.24,0.22,0.23,328900,0.23
2017-07-13,"FALC",0.22,0.23,0.2,0.22,319800,0.22
2017-07-14,"FALC",0.23,0.33,0.22,0.28,3021800,0.28
2017-07-17,"FALC",0.28,0.29,0.24,0.28,1008100,0.28
2017-07-18,"FALC",0.27,0.27,0.22,0.25,324000,0.25
2017-07-19,"FALC",0.24,0.25,0.23,0.25,147000,0.25
2017-07-20,"FALC",0.24,0.24,0.21,0.22,889400,0.22
2017-07-21,"FALC",0.24,0.24,0.2,0.22,637500,0.22
2017-07-24,"FALC",0.22,0.23,0.21,0.23,566900,0.23
2017-07-25,"FALC",0.24,0.24,0.21,0.23,539200,0.23
2017-07-26,"FALC",0.24,0.27,0.22,0.24,1511400,0.24
2017-07-27,"FALC",0.24,0.26,0.21,0.24,573600,0.24
2017-07-28,"FALC",0.23,0.23,0.21,0.23,682500,0.23
2017-07-03,"MSCI",103.44,103.82,102.54,102.790001,193900,102.790001
2017-07-05,"MSCI",103.06,103.41,102.65,103.080002,388900,103.080002
2017-07-06,"MSCI",102.54,103.35,100.84,102.279999,684100,102.279999
2017-07-07,"MSCI",102.7,103.22,102.28,102.540001,428900,102.540001
2017-07-10,"MSCI",102.75,103.69,102.63,102.989998,517700,102.989998
2017-07-11,"MSCI",103.73,105.74,103.16,105.25,737200,105.25
2017-07-12,"MSCI",105.74,106.27,103.8,105.400002,369300,105.400002
2017-07-13,"MSCI",105.47,106.25,104.38,106.099998,545700,106.099998
2017-07-14,"MSCI",106.11,108.2,105.11,107.449997,316500,107.449997
2017-07-17,"MSCI",107.35,107.81,106.77,106.980003,236700,106.980003
2017-07-18,"MSCI",106.8,107.46,105.9,106.980003,313500,106.980003
2017-07-19,"MSCI",107.3,107.85,106.9,107.589996,247900,107.589996
2017-07-20,"MSCI",107.79,108.27,107.19,107.400002,139700,107.400002
2017-07-21,"MSCI",107.17,108.38,107.12,108.150002,148500,108.150002
2017-07-24,"MSCI",108.14,109.22,108.01,108.980003,276800,108.980003
2017-07-25,"MSCI",109.6,110.53,109.25,110.260002,544400,110.260002
2017-07-26,"MSCI",110.74,110.77,110.12,110.349998,327700,110.349998
2017-07-27,"MSCI",110.8,110.8,109.2,109.809998,430400,109.809998
2017-07-28,"MSCI",109.75,110.58,108.62,110.370003,304100,110.370003
2017-07-03,"AGX",60.3,61.85,60.15,61.650002,55100,61.650002
2017-07-05,"AGX",61.9,61.9,59.95,60.799999,69300,60.799999
2017-07-06,"AGX",60.4,60.68,58.85,59.299999,122400,59.299999
2017-07-07,"AGX",59.5,61.05,58.95,60.900002,114600,60.900002
2017-07-10,"AGX",60.8,61.2,60.35,60.599998,109100,60.599998
2017-07-11,"AGX",60.55,61.45,59.8,61.349998,110100,61.349998
2017-07-12,"AGX",61.75,62.9,61.75,62.599998,146800,62.599998
2017-07-13,"AGX",62.6,62.75,61.55,62.099998,149400,62.099998
2017-07-14,"AGX",62.3,62.8,61.55,62.450001,93400,62.450001
2017-07-17,"AGX",62.7,64.15,62.7,64.050003,158900,64.050003
2017-07-18,"AGX",64,64.1,62.45,62.75,112100,62.75
2017-07-19,"AGX",63.05,64.1,62.65,64.099998,304700,64.099998
2017-07-20,"AGX",64.05,64.05,62.58,63.400002,109400,63.400002
2017-07-21,"AGX",63.55,64,62.8,63.099998,129000,63.099998
2017-07-24,"AGX",62.8,64.2,62.45,64.099998,133600,64.099998
2017-07-25,"AGX",64.5,64.9,63.95,64.300003,105200,64.300003
2017-07-26,"AGX",64.55,64.55,63.35,64.25,172400,64.25
2017-07-27,"AGX",64.8,66.3,64.45,65.199997,237300,65.199997
2017-07-28,"AGX",64.95,65,63.6,64.349998,84400,64.349998
2017-07-03,"NSH",24.55,25.1,24.55,25,18500,25
2017-07-05,"NSH",25.05,25.05,24.2,24.299999,35900,24.299999
2017-07-06,"NSH",24.25,24.4,23.59,23.9,110800,23.9
2017-07-07,"NSH",23.85,24.5,23.25,24.450001,119400,24.450001
2017-07-10,"NSH",24.45,24.9,23.9,24,108100,24
2017-07-11,"NSH",23.95,24.45,23.65,24,51000,24
2017-07-12,"NSH",24.15,24.35,23.86,24,48200,24
2017-07-13,"NSH",23.95,24.3,23.7,24.15,70400,24.15
2017-07-14,"NSH",24.15,25.25,24.15,24.950001,143000,24.950001
2017-07-17,"NSH",24.3,24.7,24.05,24.35,93100,24.35
2017-07-18,"NSH",24.45,24.45,23.9,24.15,142100,24.15
2017-07-19,"NSH",24.15,24.85,24.15,24.65,151700,24.65
2017-07-20,"NSH",24.85,24.95,23.9,24.1,117300,24.1
2017-07-21,"NSH",24.05,24.15,23.6,24.1,79300,24.1
2017-07-24,"NSH",24.35,24.5,23.9,24.049999,114800,24.049999
2017-07-25,"NSH",24.2,24.3,23.85,23.950001,232200,23.950001
2017-07-26,"NSH",24.15,24.15,23.5,23.5,34300,23.5
2017-07-27,"NSH",23.6,23.95,23.25,23.549999,47800,23.549999
2017-07-28,"NSH",23.05,23.8,23.05,23.25,53300,23.25
2017-07-03,"CQP",32.917,33.079,32.471,32.139999,167000,31.683922
2017-07-05,"CQP",32.43,32.461,31.842,31.790001,386600,31.33889
2017-07-06,"CQP",32.319,32.44,31.477,31.25,233500,30.806553
2017-07-07,"CQP",31.649,32.035,31.375,31.559999,147600,31.112154
2017-07-10,"CQP",31.852,32.166,31.446,31.620001,267700,31.171303
2017-07-11,"CQP",32.116,32.349,31.477,31.67,249200,31.220592
2017-07-12,"CQP",32.42,32.846,32.258,31.85,158200,31.398039
2017-07-13,"CQP",32.248,32.521,32.085,31.83,76400,31.378323
2017-07-14,"CQP",32.258,32.684,32.035,31.76,101000,31.309317
2017-07-17,"CQP",31.953,32.501,31.548,31.27,219700,30.826269
2017-07-18,"CQP",32.065,32.065,30.706,30.35,487900,29.919325
2017-07-19,"CQP",30.685,30.959,30.685,30.33,404900,29.899607
2017-07-20,"CQP",30.787,30.898,30.523,30.299999,553300,29.870033
2017-07-21,"CQP",30.919,31.396,30.848,30.860001,476700,30.422087
2017-07-24,"CQP",31.294,31.649,31.193,30.75,234000,30.313648
2017-07-25,"CQP",31.294,31.446,30.878,30.6,307300,30.165777
2017-07-26,"CQP",31.01,31.325,30.462,30.209999,148900,29.781309
2017-07-27,"CQP",30.675,30.716,30.33,29.950001,116000,29.525002
2017-07-28,"CQP",29.44,29.62,29.25,29.52,117300,29.52
2017-07-03,"BWA",42.8,43.98,42.76,43.18,1325700,43.18
2017-07-05,"BWA",43.1,43.34,42.08,43.18,2274000,43.18
2017-07-06,"BWA",43.12,43.36,42.78,43,1867300,43
2017-07-07,"BWA",42.85,44.26,42.69,44.09,2935200,44.09
2017-07-10,"BWA",44.22,45.15,44.07,45.080002,3684500,45.080002
2017-07-11,"BWA",45.1,45.89,44.95,45.529999,2178400,45.529999
2017-07-12,"BWA",45.8,46.23,45.36,45.610001,2316800,45.610001
2017-07-13,"BWA",45.57,46.45,45.5,46.200001,2162500,46.200001
2017-07-14,"BWA",46.26,46.44,45.92,46.259998,1417700,46.259998
2017-07-17,"BWA",46.55,46.66,46.02,46.220001,1468900,46.220001
2017-07-18,"BWA",46.19,46.35,45.72,46.189999,1247100,46.189999
2017-07-19,"BWA",46.43,46.79,46.2,46.759998,1231000,46.759998
2017-07-20,"BWA",46.98,47,46.24,46.290001,1949700,46.290001
2017-07-21,"BWA",45.8,45.8,44.58,44.919998,2795200,44.919998
2017-07-24,"BWA",44.89,45.18,44.6,44.720001,2209000,44.720001
2017-07-25,"BWA",45.25,46.09,44.87,45.84,1899200,45.84
2017-07-26,"BWA",45.79,46.4,45.61,45.860001,3610800,45.860001
2017-07-27,"BWA",47.65,48.03,46.43,47.02,3918600,47.02
2017-07-28,"BWA",47,47.17,46.42,46.91,2494100,46.91
2017-07-03,"TGA",1.33,1.35,1.3,1.32,10100,1.32
2017-07-05,"TGA",1.33,1.33,1.3,1.31,3700,1.31
2017-07-06,"TGA",1.31,1.33,1.31,1.31,13300,1.31
2017-07-07,"TGA",1.32,1.32,1.28,1.29,46300,1.29
2017-07-10,"TGA",1.31,1.31,1.26,1.28,16600,1.28
2017-07-11,"TGA",1.27,1.29,1.26,1.27,24700,1.27
2017-07-12,"TGA",1.27,1.34,1.27,1.3,46600,1.3
2017-07-13,"TGA",1.29,1.35,1.28,1.33,60100,1.33
2017-07-14,"TGA",1.34,1.34,1.32,1.32,9600,1.32
2017-07-17,"TGA",1.3,1.35,1.3,1.34,20100,1.34
2017-07-18,"TGA",1.36,1.37,1.34,1.36,39200,1.36
2017-07-19,"TGA",1.36,1.38,1.35,1.36,126500,1.36
2017-07-20,"TGA",1.36,1.37,1.35,1.35,13600,1.35
2017-07-21,"TGA",1.34,1.37,1.34,1.36,144300,1.36
2017-07-24,"TGA",1.35,1.37,1.35,1.35,14500,1.35
2017-07-25,"TGA",1.35,1.36,1.34,1.35,41000,1.35
2017-07-26,"TGA",1.35,1.36,1.33,1.34,63600,1.34
2017-07-27,"TGA",1.34,1.36,1.33,1.33,28400,1.33
2017-07-28,"TGA",1.36,1.4,1.36,1.38,31800,1.38
2017-07-03,"NSA",23.15,23.57,23.045,23.49,273700,23.49
2017-07-05,"NSA",23.57,23.66,22.675,22.799999,639600,22.799999
2017-07-06,"NSA",22.58,22.6,21.98,22.030001,702600,22.030001
2017-07-07,"NSA",22.06,22.54,21.76,22.299999,655000,22.299999
2017-07-10,"NSA",22.18,22.19,21.69,21.76,591700,21.76
2017-07-11,"NSA",21.76,21.895,21.53,21.549999,623300,21.549999
2017-07-12,"NSA",21.74,22.2,21.72,22.09,359300,22.09
2017-07-13,"NSA",22.1,22.16,21.81,21.870001,270400,21.870001
2017-07-14,"NSA",22.03,22.44,22.03,22.42,290300,22.42
2017-07-17,"NSA",22.41,22.66,22.27,22.459999,610900,22.459999
2017-07-18,"NSA",22.48,22.585,22.14,22.33,415200,22.33
2017-07-19,"NSA",22.33,22.66,22.316,22.540001,294000,22.540001
2017-07-20,"NSA",22.43,22.515,22.11,22.379999,327900,22.379999
2017-07-21,"NSA",22.64,22.69,22.3,22.66,280800,22.66
2017-07-24,"NSA",22.68,22.69,22.41,22.610001,375100,22.610001
2017-07-25,"NSA",22.64,22.775,22.48,22.690001,305000,22.690001
2017-07-26,"NSA",22.69,23.19,22.6,23.059999,180900,23.059999
2017-07-27,"NSA",22.93,22.93,22.24,22.280001,359500,22.280001
2017-07-28,"NSA",22.24,22.57,22.11,22.51,634200,22.51
2017-07-03,"RNP",20.943,21.074,20.933,20.940001,52500,20.816532
2017-07-05,"RNP",21.034,21.104,20.964,20.969999,82900,20.846354
2017-07-06,"RNP",21.004,21.094,20.692,20.57,98200,20.448711
2017-07-07,"RNP",20.702,20.853,20.652,20.73,52900,20.607769
2017-07-10,"RNP",20.863,20.883,20.732,20.709999,80100,20.587887
2017-07-11,"RNP",20.853,20.853,20.561,20.440001,128500,20.319479
2017-07-12,"RNP",20.581,20.742,20.581,20.549999,83000,20.428829
2017-07-13,"RNP",20.803,20.833,20.682,20.700001,85800,20.577948
2017-07-14,"RNP",20.893,21.024,20.783,20.889999,75900,20.766825
2017-07-17,"RNP",21.014,21.155,20.994,21.030001,85400,20.906
2017-07-18,"RNP",20.98,21.09,20.88,21,110000,21
2017-07-19,"RNP",21.03,21.11,20.98,21.09,90000,21.09
2017-07-20,"RNP",21.19,21.29,21.09,21.15,64100,21.15
2017-07-21,"RNP",21.21,21.23,21.04,21.110001,95800,21.110001
2017-07-24,"RNP",21.12,21.16,21,21.1,74200,21.1
2017-07-25,"RNP",21.25,21.25,20.8,20.889999,186100,20.889999
2017-07-26,"RNP",20.9,20.97,20.81,20.879999,144900,20.879999
2017-07-27,"RNP",20.96,20.96,20.78,20.809999,113500,20.809999
2017-07-28,"RNP",20.8,20.94,20.72,20.940001,81400,20.940001
2017-07-03,"CDW",62.55,63.6,62.55,62.759998,340900,62.759998
2017-07-05,"CDW",62.83,63.42,62.66,62.990002,773600,62.990002
2017-07-06,"CDW",62.42,62.6,61.14,61.23,1284100,61.23
2017-07-07,"CDW",61.38,62.5,61.28,62.360001,1088400,62.360001
2017-07-10,"CDW",62.3,62.85,62.29,62.630001,717500,62.630001
2017-07-11,"CDW",62.4,63.43,62.4,63.23,718500,63.23
2017-07-12,"CDW",63.2,64,63.2,63.450001,530400,63.450001
2017-07-13,"CDW",63.54,63.99,63.19,63.349998,664900,63.349998
2017-07-14,"CDW",63.34,63.77,62.75,63.560001,983100,63.560001
2017-07-17,"CDW",63.5,63.85,63.18,63.720001,492500,63.720001
2017-07-18,"CDW",63.54,63.84,63.12,63.59,704700,63.59
2017-07-19,"CDW",63.56,64.52,63.56,64.059998,608300,64.059998
